,Date,Team,Acquired,Relinquished,Notes
378,2003-11-28,Mavericks,,Dirk Nowitzki,sprained right ankle (DNP)
379,2003-11-28,Pacers,,Jamaal Tinsley,sore lower back (DNP)
380,2003-11-28,Suns,,Shawn Marion,sprained left ankle (DNP)
381,2003-11-28,Suns,,Zarko Cabarkapa,placed on IL with fractured right wrist
382,2003-11-28,Suns,Robert Archibald,,activated from IL
383,2003-11-28,Timberwolves,,Mark Madsen,back spasms (DNP)
384,2003-11-28,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
385,2003-11-29,76ers,,Derrick Coleman,strained left knee (DNP)
386,2003-11-29,Bucks,,Tim Thomas,sprained left ankle (DNP)
387,2003-11-29,Cavaliers,,Carlos Boozer,sprained right ankle (DNP)
388,2003-11-29,Grizzlies,,Lorenzen Wright,sprained right ankle (DNP)
389,2003-11-29,Heat,,Caron Butler,left quadricep injury (DNP)
390,2003-11-29,Heat,,Tyrone Hill,neck & shoulder injury (DNP)
391,2003-11-29,Mavericks,,Dirk Nowitzki,sprained right ankle (DNP)
392,2003-11-29,Pistons,,Lindsey Hunter,placed on IL with strained MCL in left knee
393,2003-11-29,Pistons,Hubert Davis,,activated from IL
394,2003-11-29,Timberwolves,,Mark Madsen,back spasms (DNP)
395,2003-11-29,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
396,2003-11-29,Wizards,,Etan Thomas,flu (DNP)
397,2003-11-29,Wizards,Mitchell Butler,,activated from IL
398,2003-11-30,Kings,,Gerald Wallace,sprained left knee (DNP)
399,2003-11-30,Pacers,,Jamaal Tinsley,sore back (DNP)
400,2003-12-01,Bucks,,Tim Thomas,sprained left ankle (DNP)
401,2003-12-01,Bulls,,Tyson Chandler,placed on IL with sore lower back
402,2003-12-01,Bulls,Linton Johnson III,,activated from IL
403,2003-12-01,Clippers,,Chris Wilcox,strained left groin (DNP)
404,2003-12-01,Clippers,,Glen Rice ,placed on IL with bruised right knee
405,2003-12-01,Clippers,Olden Polynice,,activated from IL
406,2003-12-01,Grizzlies,,Jason Williams,back spasms (DNP)
407,2003-12-01,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
408,2003-12-01,Knicks,,Mike Sweetney,placed on IL with left patella tendinitis
409,2003-12-01,Knicks,Antonio McDyess,,activated from IL
410,2003-12-01,Magic,,Pat Garrity,surgery on right knee to repair damaged cartilage (out 4-6 months)
411,2003-12-01,Pacers,,Metta World Peace,back spasms (DNP)
412,2003-12-02,76ers,,Derrick Coleman,sprained left knee (DNP)
413,2003-12-02,Bucks,,Tim Thomas,sprained left ankle (DNP)
414,2003-12-02,Bucks,,Toni Kukoc,back spasms (DNP)
415,2003-12-02,Cavaliers,,DeSagana Diop,right knee injury (DNP)
416,2003-12-02,Mavericks,,Dirk Nowitzki,sprained right ankle (DNP)
417,2003-12-02,Nuggets,,Marcus Camby,strained right groin (DNP)
418,2003-12-02,Wizards,,Etan Thomas,flu (DNP)
419,2003-12-03,Blazers,Travis Outlaw,,activated from IL
420,2003-12-03,Cavaliers,,DeSagana Diop,right knee injury (DNP)
421,2003-12-03,Celtics,,Tony Battie,flu (DNP)
422,2003-12-03,Clippers,,Chris Wilcox,strained left groin (DNP)
423,2003-12-03,Clippers,,Eddie House,sore left foot (DNP)
424,2003-12-03,Grizzlies,,Jason Williams,back spasms (DNP)
425,2003-12-03,Heat,,Caron Butler,left quadricep injury (DNP)
426,2003-12-03,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
427,2003-12-03,Jazz,,DeShawn Stevenson,flu (DNP)
428,2003-12-03,Nets,,Jason Collins,sprained left ankle (DNP)
429,2003-12-03,Nuggets,,Marcus Camby,sprained right groin (DNP)
430,2003-12-03,Pacers,,Jamaal Tinsley,placed on IL with sore lower back
431,2003-12-03,Pacers,Jamison Brewer,,activated from IL
432,2003-12-03,Rockets,,Jim Jackson,flu (DNP)
433,2003-12-03,Rockets,,John Amaechi,flu (DNP)
434,2003-12-03,Suns,,Leandro Barbosa,bruised back (DNP)
435,2003-12-03,Timberwolves,,Mark Madsen,back spasms (DNP)
436,2003-12-03,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
437,2003-12-04,76ers,,Marc Jackson,surgery on broken left ring finger (out ~8 weeks)
438,2003-12-04,76ers,,Marc Jackson,surgery on broken left ring finger (DNP)
439,2003-12-04,76ers,,Willie Green,sprained right thumb (DNP)
440,2003-12-04,Bulls,,Scottie Pippen,left knee injury (DNP)
441,2003-12-04,Cavaliers,,DeSagana Diop,surgery on right knee to repair torn cartilage (out 4-6 weeks)
442,2003-12-04,Mavericks,,Dirk Nowitzki,sprained right ankle (DNP)
443,2003-12-05,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
444,2003-12-05,76ers,,Willie Green,surgery on right thumb (out 6-8 weeks)
445,2003-12-05,76ers,,Willie Green,surgery on right thumb (DNP)
446,2003-12-05,Bucks,,Tim Thomas,sprained left ankle (DNP)
447,2003-12-05,Bucks,,Toni Kukoc,placed on IL with back spasms
448,2003-12-05,Clippers,,Chris Wilcox,strained left groin (DNP)
449,2003-12-05,Clippers,,Eddie House,placed on IL with sprained left foot
450,2003-12-05,Clippers,Elton Brand,,activated from IL
451,2003-12-05,Grizzlies,,Jason Williams,back spasms (DNP)
452,2003-12-05,Heat,,Caron Butler,left quadricep injury (DNP)
453,2003-12-05,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
454,2003-12-05,Magic,,Reece Gaines,placed on IL with right patella tendinitis
455,2003-12-05,Magic,Shammond Williams,,activated from IL
456,2003-12-05,Pacers,,Metta World Peace,back spasms (DNP)
457,2003-12-05,Spurs,,Malik Rose,strained right ankle (DNP)
458,2003-12-05,Timberwolves,,Mark Madsen,back spasms (DNP)
459,2003-12-05,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
460,2003-12-05,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
461,2003-12-06,Bucks,,Tim Thomas,sprained left ankle (DNP)
462,2003-12-06,Bulls,,Eddie Robinson,upper respiratory infection (DNP)
463,2003-12-06,Bulls,,Scottie Pippen,left knee injury (DNP)
464,2003-12-06,Cavaliers,,DeSagana Diop,recovering from surgery on right knee (DNP)
465,2003-12-06,Heat,,Caron Butler,left quadricep injury (DNP)
466,2003-12-06,Knicks,,Allan Houston,sore right knee (DNP)
467,2003-12-06,Mavericks,,Dirk Nowitzki,sprained right ankle (DNP)
468,2003-12-06,Spurs,,Malik Rose,strained right ankle (DNP)
469,2003-12-06,Suns,,Amar'e Stoudemire,placed on IL with sprained left ankle
470,2003-12-06,Suns,Cezary Trybanski,,activated from IL
471,2003-12-06,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
472,2003-12-07,Clippers,,Chris Wilcox,strained left groin (DNP)
473,2003-12-07,Grizzlies,,Jason Williams,strained back (DNP)
474,2003-12-07,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
475,2003-12-07,Timberwolves,,Mark Madsen,back spasms (DNP)
476,2003-12-07,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
477,2003-12-08,Bucks,,Tim Thomas,sprained left ankle (DNP)
478,2003-12-08,Bulls,,Scottie Pippen,left knee injury (DNP)
479,2003-12-08,Cavaliers,,DeSagana Diop,placed on IL recovering from surgery on right knee
480,2003-12-08,Cavaliers,Bruno Sundov,,activated from IL
481,2003-12-08,Celtics,,Vin Baker,flu (DNP)
482,2003-12-08,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
483,2003-12-08,Spurs,,Malik Rose,strained right ankle (DNP)
484,2003-12-09,76ers,,Allen Iverson,right knee tendinitis (DNP)
485,2003-12-09,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
486,2003-12-09,76ers,,Willie Green,recovering from surgery on right thumb (DNP)
487,2003-12-09,Clippers,,Bobby Simmons,flu (DNP)
488,2003-12-09,Kings,,Bobby Jackson,bronchitis (DNP)
489,2003-12-09,Knicks,,Allan Houston,sore right knee (DNP)
490,2003-12-09,Pacers,,Anthony Johnson,lower abdominal strain (DNP)
491,2003-12-09,Pistons,,Darko Milicic,flu (DNP)
492,2003-12-09,Pistons,,Darvin Ham,placed on IL with sprained right wrist
493,2003-12-09,Pistons,,Hubert Davis,placed on IL with sprained left thumb
494,2003-12-09,Pistons,Chucky Atkins,,activated from IL
495,2003-12-09,Pistons,Zeljko Rebraca,,activated from IL
496,2003-12-09,Timberwolves,,Michael Olowokandi,right knee tendinitis (DNP)
497,2003-12-09,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
498,2003-12-10,76ers,,Willie Green,placed on IL recovering from surgery on right thumb
499,2003-12-10,76ers,Glenn Robinson ,,activated from IL
500,2003-12-10,Bucks,,Tim Thomas,sprained left ankle (DNP)
501,2003-12-10,Clippers,,Olden Polynice,placed on IL with strained neck
502,2003-12-10,Clippers,Glen Rice ,,activated from IL
503,2003-12-10,Grizzlies,,Dahntay Jones,placed on IL with left Achilles tendinitis
504,2003-12-10,Grizzlies,,Jason Williams,strained back (DNP)
505,2003-12-10,Grizzlies,Troy Bell,,activated from IL
506,2003-12-10,Jazz,,Carlos Arroyo,sprained left ankle (DNP)
507,2003-12-10,Knicks,,Allan Houston,right knee injury (DNP)
508,2003-12-10,Spurs,,Malik Rose,strained right ankle (DNP)
509,2003-12-10,Suns,,Leandro Barbosa,bruised sternum (DNP)
510,2003-12-10,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
511,2003-12-11,76ers,,Monty Williams,bruised knee
512,2003-12-11,Spurs,,Malik Rose,strained right ankle (DNP)
513,2003-12-12,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
514,2003-12-12,Bucks,,Tim Thomas,sprained left ankle (DNP)
515,2003-12-12,Bulls,,Corie Blount,sprained left knee (DNP)
516,2003-12-12,Bulls,,Scottie Pippen,arthroscopic surgery on left knee (out 4-6 weeks)
517,2003-12-12,Bulls,,Scottie Pippen,arthroscopic surgery on left knee (DNP)
518,2003-12-12,Grizzlies,,Jason Williams,strained back muscle (DNP)
519,2003-12-12,Hawks,,Boris Diaw,sprained left ankle (DNP)
520,2003-12-12,Heat,,Wang Zhi-Zhi,placed on IL with patellar tendinitis
521,2003-12-12,Heat,Rasual Butler,,activated from IL
522,2003-12-12,Kings,,Anthony Peeler,sore right knee (DNP)
523,2003-12-12,Mavericks,,Michael Finley,sprained right big toe (DNP)
524,2003-12-12,Nets,,Brandon Armstrong,placed on IL with sprained left ankle
525,2003-12-12,Nets,,Zoran Planinic,placed on IL with strained neck
526,2003-12-12,Nets,Damone Brown,,activated from IL
527,2003-12-12,Nets,Tamar Slay,,activated from IL
528,2003-12-12,Timberwolves,,Mark Madsen,back spasms (DNP)
529,2003-12-12,Timberwolves,,Michael Olowokandi,surgery on right knee (out 6-8 weeks)
530,2003-12-12,Timberwolves,,Michael Olowokandi,surgery on right knee (DNP)
531,2003-12-12,Warriors,,Adonal Foyle,recovering from surgery on left knee (DNP)
532,2003-12-12,Warriors,,Speedy Claxton,lower back spasms (DNP)
533,2003-12-12,Wizards,,Mitchell Butler,placed on IL with right knee tendinitis
534,2003-12-12,Wizards,Gilbert Arenas,,activated from IL
535,2003-12-13,Bulls,,Corie Blount,sprained left knee (DNP)
536,2003-12-13,Bulls,,Scottie Pippen,recovering from arthroscopic surgery on left knee (DNP)
537,2003-12-13,Celtics,,Raef LaFrentz,placed on IL with right knee tendinitis
538,2003-12-13,Celtics,Kendrick Perkins,,activated from IL
539,2003-12-13,Grizzlies,,Jason Williams,strained back (DNP)
540,2003-12-13,Hawks,,Boris Diaw,sprained left ankle (DNP)
541,2003-12-13,Knicks,,Kurt Thomas,sore left knee (DNP)
542,2003-12-13,Magic,,Tyronn Lue,strained left hip flexor (DNP)
543,2003-12-13,Spurs,,Malik Rose,strained right ankle (DNP)
544,2003-12-13,Timberwolves,,Michael Olowokandi,placed on IL recovering from surgery on right knee
545,2003-12-14,76ers,,Allen Iverson,right knee hematoma (DNP)
546,2003-12-14,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
547,2003-12-14,Jazz,,Curtis Borchardt,broken right wrist (DNP)
548,2003-12-14,Wizards,,Gilbert Arenas,placed on IL with strained stomach muscle
549,2003-12-15,Celtics,,Raef LaFrentz,surgery on right knee (out for season)
550,2003-12-15,Grizzlies,,Jason Williams,strained back (DNP)
551,2003-12-15,Mavericks,,Michael Finley,sprained right big toe (DNP)
552,2003-12-15,Mavericks,,Shawn Bradley,back spasms (DNP)
553,2003-12-15,Spurs,,Malik Rose,strained right ankle (DNP)
554,2003-12-15,Timberwolves,,Mark Madsen,back spasms (DNP)
555,2003-12-16,Bulls,,Corie Blount,sprained left knee (DNP)
556,2003-12-16,Bulls,,Eddy Curry,bone bruise in left knee (out 2-4 weeks)
557,2003-12-16,Bulls,,Eddy Curry,bone bruise in left knee (DNP)
558,2003-12-16,Bulls,,Scottie Pippen,placed on IR recovering from arthroscopic surgery on left knee
559,2003-12-16,Grizzlies,,Jason Williams,strained back (DNP)
560,2003-12-16,Hawks,,Boris Diaw,sprained left ankle (DNP)
561,2003-12-16,Heat,,Samaki Walker,placed on IL with stress reaction in right ankle
562,2003-12-16,Heat,Malik Allen,,activated from IL
563,2003-12-16,Jazz,,Curtis Borchardt,broken right wrist (DNP)
564,2003-12-16,Magic,,Tyronn Lue,strained left hip (DNP)
565,2003-12-16,Raptors,,Mengke Bateer,placed on IL with strained left knee
566,2003-12-16,Timberwolves,,Mark Madsen,lower back spasms (DNP)
567,2003-12-16,Warriors,,Adonal Foyle,placed on IL recovering from surgery on left knee
568,2003-12-16,Warriors,,Troy Murphy,torn plantar fascia in right foot (DNP)
569,2003-12-16,Warriors,Troy Murphy,,activated from IL
570,2003-12-17,76ers,,Allen Iverson,bruised right knee (DNP)
571,2003-12-17,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
572,2003-12-17,Bulls,,Corie Blount,sprained left knee (DNP)
573,2003-12-17,Bulls,,Eddy Curry,sprained left knee (DNP)
574,2003-12-17,Cavaliers,,Ira Newble,ill (DNP)
575,2003-12-17,Hawks,,Boris Diaw,sprained right ankle (DNP)
576,2003-12-17,Jazz,,Curtis Borchardt,broken right wrist (DNP)
577,2003-12-17,Magic,,Tyronn Lue,strained left hip (DNP)
578,2003-12-17,Mavericks,,Michael Finley,sprained right big toe (DNP)
579,2003-12-17,Mavericks,,Shawn Bradley,back spasms (DNP)
580,2003-12-18,Mavericks,,Michael Finley,sprained right big toe (DNP)
581,2003-12-18,Mavericks,,Shawn Bradley,back spasms (DNP)
582,2003-12-18,Nets,,Alonzo Mourning,kidney transplant surgery (out indefinitely)
583,2003-12-18,Timberwolves,,Mark Madsen,lower back spasms (DNP)
584,2003-12-19,76ers,,Allen Iverson,bruised right knee (DNP)
585,2003-12-19,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
586,2003-12-19,Blazers,,Travis Outlaw,placed on IL with bilateral patellar tendinitis
587,2003-12-19,Clippers,,Peja Drobnjak,placed on IL with back spasms
588,2003-12-19,Clippers,Eddie House,,activated from IL
589,2003-12-19,Hawks,,Boris Diaw,sprained right ankle (DNP)
590,2003-12-19,Jazz,,Curtis Borchardt,broken right wrist (DNP)
591,2003-12-19,Magic,,Tyronn Lue,strained left hip flexor (DNP)
592,2003-12-19,Nets,,Aaron Williams,pulled groin (DNP)
593,2003-12-19,Pistons,,Darko Milicic,flu (DNP)
594,2003-12-19,Sonics,,Brent Barry,left hip flexor injury (DNP)
595,2003-12-19,Wizards,,Brendan Haywood,sinus infection (DNP)
596,2003-12-20,Bucks,,Dan Langhi,placed on IL with sore left ankle
597,2003-12-20,Bucks,Toni Kukoc,,activated from IL
598,2003-12-20,Bulls,,Eddy Curry,bone bruise in left knee (DNP)
599,2003-12-20,Clippers,,Melvin Ely,flu (DNP)
600,2003-12-20,Hawks,,Boris Diaw,sprained left ankle (DNP)
601,2003-12-20,Hawks,,Dion Glover,flu (DNP)
602,2003-12-20,Hornets,,David West,upper respiratory infection (DNP)
603,2003-12-20,Mavericks,,Michael Finley,sprained right big toe (DNP)
604,2003-12-20,Mavericks,,Shawn Bradley,back spasms (DNP)
605,2003-12-20,Nets,,Aaron Williams,pulled groin (DNP)
606,2003-12-20,Nets,,Lucious Harris,sprained ankle (DNP)
607,2003-12-20,Pacers,,Kenny Anderson,sore left foot (DNP)
608,2003-12-20,Sonics,,Antonio Daniels,strained abdominal (DNP)
609,2003-12-20,Sonics,,Brent Barry,left hip flexor injury (DNP)
610,2003-12-20,Timberwolves,Troy Hudson,,activated from IL
611,2003-12-21,76ers,,Allen Iverson,bruised right knee (DNP)
612,2003-12-21,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
613,2003-12-21,Blazers,,Ruben Boumtje Boumtje,sprained left ankle (DNP)
614,2003-12-21,Heat,,Malik Allen,flu (DNP)
615,2003-12-21,Jazz,,Curtis Borchardt,broken right wrist (DNP)
616,2003-12-22,76ers,,Allen Iverson,bruised right knee (DNP)
617,2003-12-22,76ers,,Derrick Coleman,sprained left knee (DNP)
618,2003-12-22,76ers,,Marc Jackson,recovering from surgery on broken left ring finger (DNP)
619,2003-12-22,Bulls,,Eddy Curry,bone bruise in left knee (DNP)
620,2003-12-22,Grizzlies,,Lorenzen Wright,lower leg injury (DNP)
621,2003-12-22,Grizzlies,,Stromile Swift,stomach virus (DNP)
622,2003-12-22,Jazz,,Curtis Borchardt,broken right wrist (DNP)
623,2003-12-22,Kings,Lawrence Funderburke,,activated from IL
624,2003-12-22,Lakers,,Karl Malone,strained ligament in knee (out 3 games)
625,2003-12-22,Magic,,Donnell Harvey,DNP
626,2003-12-22,Nuggets,,Jon Barry,placed on IL with strained neck
627,2003-12-22,Nuggets,,Marcus Camby,strained lower back (DNP)
628,2003-12-22,Nuggets,Jeff Trepagnier,,activated from IL
629,2003-12-23,76ers,,Marc Jackson,placed on IR recovering from surgery on broken left ring finger
630,2003-12-23,Bulls,,Eddy Curry,bone bruise in left knee (DNP)
631,2003-12-23,Clippers,,Melvin Ely,placed on IL with flu
632,2003-12-23,Clippers,Olden Polynice,,activated from IL
633,2003-12-23,Grizzlies,,Lorenzen Wright,right leg injury (DNP)
634,2003-12-23,Heat,,John Wallace,flu (DNP)
635,2003-12-23,Heat,,Malik Allen,flu (DNP)
636,2003-12-23,Kings,,Lawrence Funderburke,left Achilles tendon injury (DNP)
637,2003-12-23,Lakers,,Jannero Pargo,placed on IL with patellar tendinitis
638,2003-12-23,Lakers,,Karl Malone,sprained right ankle (DNP)
639,2003-12-23,Lakers,Brian Cook,,activated from IL
640,2003-12-23,Mavericks,,Shawn Bradley,back spasms (DNP)
641,2003-12-23,Nets,,Aaron Williams,pulled groin (DNP)
642,2003-12-23,Rockets,,John Amaechi,placed on IL with intestinal virus
643,2003-12-23,Rockets,Mike Wilks,,activated from IL
644,2003-12-23,Sonics,,Ansu Sesay,placed on IL with sprained left ring finger
645,2003-12-23,Sonics,Ray Allen,,activated from IL
646,2003-12-23,Suns,,Robert Archibald,placed on IL with flu
647,2003-12-25,Lakers,,Karl Malone,sprained ligament in knee (DNP)
648,2003-12-25,Mavericks,,Shawn Bradley,back spasms (DNP)
649,2003-12-25,Pacers,,Kenny Anderson,placed on IL with strained right calf muscle
650,2003-12-25,Pacers,Jamaal Tinsley,,activated from IL
651,2003-12-26,76ers,,Allen Iverson,bruised right knee (DNP)
652,2003-12-26,Bucks,,Joel Przybilla,placed on IL with right knee tendinitis
653,2003-12-26,Bucks,Brian Skinner,,activated from IL
654,2003-12-26,Bulls,,Eddy Curry,bone bruise in left knee (DNP)
655,2003-12-26,Jazz,,Greg Ostertag,sore left knee (DNP)
656,2003-12-26,Knicks,,Clarence Weatherspoon,placed on IL with left Achilles tendinitis
657,2003-12-26,Knicks,Mike Sweetney,,activated from IL
658,2003-12-26,Nets,,Aaron Williams,pulled groin (DNP)
